"","true.psi","misse","mean_turnover_error1","median_turnover_error1","var_turnover1","mean_turnover_error2","median_turnover_error2","var_turnover2","mean_eps_error1","median_eps_error1","var_eps1","mean_eps_error2","median_eps_error2","var_eps2","mean_netdiv_error1","median_netdiv_error1","var_netdiv1","mean_netdiv_error2","median_netdiv_error2","var_netdiv2","m_prop_median","m_median","k_prop_median","k_median","mean.psi.error","median.psi.error","var.psi"
"1",0.01,"extant",-0.000880391285061256,-0.0082862384553845,0.0063745039778564,0.0585814067338049,-0.103729645230144,1.38578589242805,0.00927232348356981,0.0285696224065979,0.0224148336868808,-0.0531595763020036,-0.028669215539664,0.0173048868872433,-0.0065362697194931,-0.00784177601098554,0.000493918497238199,-0.0292012892562052,-0.00947651405259033,0.0305804369108085,NA,NA,NA,NA,-0.01,-0.01,0
"2",0.01,"full_k",-0.00410003475855953,-0.000356911536462987,0.00620363553466687,-0.0749129329540523,-0.135098648392459,0.0361521638317727,0.00859833384860844,0.0317794502865255,0.0210438731265092,-0.0601671639531103,-0.0423949892370475,0.0164762205727373,-0.0058652081717115,-0.00720315524817689,0.000477028291157732,-0.00784606464138382,-0.00699241441449423,0.00119947578035968,0.0327139174003989,10,1,17,2.15146810241828e-05,1.76398060887893e-05,5.00059753088196e-06
"3",0.01,"half_k",0.026000215176664,0.024732428617203,0.00831579763950773,0.082142484550268,-0.0966156788122825,1.34339461827635,0.0740450877799473,0.0834527500218794,0.02095496417409,0.0156330569924857,0.0386550120818075,0.0122930472136805,-0.0113393107269149,-0.0130156709805323,0.000512009100844201,-0.0361385103593933,-0.0187659425836218,0.0302790513692167,0.0327139174003989,10,0.5,8,-0.00389778312578869,-0.00384115103308914,1.4597903591269e-06
"4",0.01,"strat_int",-0.0458843123428915,-0.04560020754911,0.00562864877228171,-0.0534814607852814,-0.141749400377034,0.0612205868658215,-0.0712641350446982,-0.044153669837354,0.0255913638756017,-0.0798275266732229,-0.066050911519232,0.0215462897385621,-0.00158767742081194,-0.000495728817916187,0.000626828902095104,-0.00906020608014273,-0.00412725922453169,0.00214786046392975,0.0327139174003989,10,NA,0,0.00101281953796747,0.000802432488315899,7.55559076007685e-06
"5",0.01,"zero_k",0.0618401257181423,0.0698452512376285,0.00995438226018882,1.40542731732972,-0.0401208563813125,95.9135451263815,0.15951807958146,0.176948797396254,0.0213540033584184,0.100119632759568,0.114414760923699,0.00854759499471745,-0.0201203559442035,-0.0215631253998781,0.000473490747986957,-0.046741621918113,-0.0339003902773783,0.0268828996447246,0.0327139174003989,10,0,0,-0.0072557047821747,-0.00728755557032896,8.98519951109551e-07
"6",0.05,"extant",-0.000777089374369778,-0.007703021021657,0.00647480473300185,0.114770229133598,-0.105465455090787,1.55933489691507,0.010863725170562,0.0320878298421625,0.021486412081886,-0.054764731588526,-0.041264015956067,0.0208495064608789,-0.00636761447976652,-0.00751386971401929,0.000462593197004127,-0.0391390191513626,-0.00914076605126823,0.035822957876774,NA,NA,NA,NA,-0.05,-0.05,0
"7",0.05,"full_k",-0.0113954068540455,-0.00696621291055249,0.00412546446244726,-0.0864722085339062,-0.163068100249916,0.056128866510223,-0.00489828471675643,0.020393874039297,0.013778163904181,-0.0562155188976213,-0.0827764076708755,0.010937599716725,-0.00266076054669531,-0.00200534664772904,0.000426036491683787,-0.00836779192523185,-0.00717731487096242,0.00246271754255822,0.140090692833779,40,1,95,-0.000838744921015295,-0.000173228846678503,2.53522657849843e-05
"8",0.05,"half_k",0.0524871290487162,0.063820766910279,0.00690658412556199,0.145531475867614,-0.0778180209328055,1.34315130126039,0.139368130343838,0.150940663619991,0.0137481441552766,0.0612132576205523,0.055820461600881,0.00723807758541921,-0.016432802662557,-0.0176938226765967,0.000374543854059751,-0.0484903864287099,-0.0222153097798418,0.0374862212641484,0.140090692833779,40,0.5,48,-0.0234698138874949,-0.0232109413117594,6.92777152876095e-06
"9",0.05,"strat_int",-0.0640988190707408,-0.0630733073279235,0.00200289662367578,-0.110647430458168,-0.203534086960709,0.134849943204807,-0.102586044634682,-0.0892306690255406,0.0217531119611888,-0.0704130111575054,-0.102593033493157,0.0273124244106487,0.00526811166376813,0.00715020770541826,0.000673545205785362,-0.0110477329245333,-0.00466900521191118,0.00608906221994115,0.140090692833779,40,NA,0,0.00972648674405375,0.0097223832065802,4.04775453958457e-05
"10",0.05,"zero_k",0.137217630378633,0.144315611337952,0.0145387745942226,1.17997434218148,0.343393356585757,7.04400472189219,0.339488679480443,0.328620204738681,0.0212023903794534,0.23587243442763,0.239247610431462,0.00311442546259532,-0.0416318654890106,-0.04266310629132,0.000552888732710911,-0.0566395612133145,-0.0559265875641433,0.00125872695412861,0.140090692833779,40,0,0,-0.0424452205189522,-0.0423619778848512,2.11083350113148e-06
"11",0.1,"extant",-0.00115378266690449,-0.0055111251653015,0.00684425912509313,0.0752207584081697,-0.105465549658564,1.41577027563445,0.0131886309301903,0.0322041110715734,0.0219469886411683,-0.0549302427755432,-0.0397202630661185,0.0198508978986684,-0.00683755348398728,-0.00758867188342049,0.000482764744942615,-0.0325386767786317,-0.00908945570303008,0.032083893176759,NA,NA,NA,NA,-0.1,-0.1,0
"12",0.1,"full_k",-0.0136279105835687,-0.0178021835922435,0.00372710798342844,0.108509631370448,-0.161334771157491,3.54482986484013,0.00922664902620044,0.0133041149577165,0.0159309016561697,-0.0483862497930374,-0.051508373632335,0.0135341194900257,-0.00430073199105929,-0.00489839000279734,0.000453397825926377,-0.0232290500250067,-0.00534492811681638,0.0329761228440835,0.239644283458716,69,1,201,-0.000387792811551294,-0.000490787887147452,4.69138618584444e-05
"13",0.1,"half_k",0.0457693446797785,0.0462024888628535,0.00704546679794952,0.265647071947409,-0.044794201615395,4.24708695446739,0.14636543826274,0.138506958643551,0.0119875952389169,0.0617285315417284,0.0635223579211645,0.00688680112507955,-0.0187563017564734,-0.0192903704350992,0.000367384324415649,-0.0438155455717212,-0.0194610953364606,0.0291338485964685,0.239644283458716,69,0.5,100,-0.0481737202651151,-0.0483416019895996,1.22844526473097e-05
"14",0.1,"strat_int",-0.0543753877092781,-0.0492912564850855,0.0014033296159138,-0.16972226336766,-0.222371794630661,0.0204552929388309,-0.0313172209082259,-0.04759324959994,0.0244039979524883,-0.101847568887562,-0.143627154608316,0.0296831420977779,-0.0018124314478033,-0.000389987129294986,0.000591544576328521,0.00450575402336703,0.00548759836948932,0.00207681627838145,0.239644283458716,69,NA,0,0.0234080526761386,0.023672370569357,9.04232249074382e-05
