"","mu","lambda","psi","ntip","surviving_terminal","extinct_terminal","extinct_internal","surviving_internal","m","k","turnover","ef","netdiv"
"1",0.2,0.3,0.005,50,2,0,0,0,0,2,0.5,0.666666666666667,0.1
"2",0.2,0.3,0.005,50,0,1,0,0,1,0,0.5,0.666666666666667,0.1
"3",0.2,0.3,0.005,50,1,1,1,1,1,3,0.5,0.666666666666667,0.1
"4",0.2,0.3,0.005,50,1,1,1,1,1,3,0.5,0.666666666666667,0.1
"5",0.2,0.3,0.005,50,0,0,0,1,0,1,0.5,0.666666666666667,0.1
"6",0.2,0.3,0.005,50,0,2,0,0,2,0,0.5,0.666666666666667,0.1
"7",0.2,0.3,0.005,50,1,0,0,0,0,1,0.5,0.666666666666667,0.1
"8",0.2,0.3,0.005,50,0,0,0,2,0,2,0.5,0.666666666666667,0.1
"9",0.2,0.3,0.005,50,0,0,0,2,0,2,0.5,0.666666666666667,0.1
"10",0.2,0.3,0.005,50,0,0,0,1,0,1,0.5,0.666666666666667,0.1
"11",0.2,0.3,0.005,50,0,2,0,0,2,0,0.5,0.666666666666667,0.1
"12",0.2,0.3,0.005,50,0,2,3,0,2,3,0.5,0.666666666666667,0.1
"13",0.2,0.3,0.005,50,1,2,0,1,2,2,0.5,0.666666666666667,0.1
"14",0.2,0.3,0.005,50,0,2,0,1,2,1,0.5,0.666666666666667,0.1
"15",0.2,0.3,0.005,50,1,2,0,1,2,2,0.5,0.666666666666667,0.1
"16",0.2,0.3,0.005,50,0,0,0,1,0,1,0.5,0.666666666666667,0.1
"17",0.2,0.3,0.01,50,1,2,3,1,2,5,0.5,0.666666666666667,0.1
"18",0.2,0.3,0.01,50,1,1,1,3,1,5,0.5,0.666666666666667,0.1
"19",0.2,0.3,0.01,50,0,0,0,3,0,3,0.5,0.666666666666667,0.1
"20",0.2,0.3,0.01,50,0,4,1,2,4,3,0.5,0.666666666666667,0.1
"21",0.2,0.3,0.01,50,1,1,0,0,1,1,0.5,0.666666666666667,0.1
"22",0.2,0.3,0.01,50,0,2,0,3,2,3,0.5,0.666666666666667,0.1
