"","true.mu","psi.true","misse","mean_turnover_error","median_turnover_error","var_turnover","mean_eps_error","median_eps_error","var_eps","mean_netdiv_error","median_netdiv_error","var_netdiv","m_prop_median","m_median","k_prop_median","k_median","mean.psi.error","median.psi.error","var.psi"
"1",0.1,0.01,"extant",0.0443704229453458,0.044098127587283,0.0162665698208913,0.0478811988896546,0.06973059129617,0.0277677344792477,-0.0154209229240836,-0.0199905584370436,0.00224268987756098,NA,NA,NA,NA,-0.01,-0.01,0
"2",0.1,0.01,"full_k",0.0637885526443376,0.0565969595585645,0.00904091286033811,0.0824089635831016,0.0795868713497035,0.0121028405165841,-0.0219399465228406,-0.0186297317569538,0.00134560674598846,0.0180194805194805,1,1,6,0.000897644770658024,0.00103567094461735,1.57893654530945e-05
"3",0.1,0.01,"half_k",0.0962985375607595,0.091158318986635,0.0099302329930077,0.120341662655399,0.123340008946585,0.0122119191097596,-0.030506761035774,-0.0314895931250442,0.00139787318444871,0.0180194805194805,1,0.5,3,-0.00369117964987101,-0.00384918481822878,4.31318578349323e-06
"4",0.1,0.01,"strat_int",0.0419475098220068,0.025894206022084,0.00858055524311171,0.0560017619584354,0.0456815507163145,0.0123776275424536,-0.0164575855436427,-0.0156269924046422,0.00135277474368691,0.0180194805194805,1,1,6,0.00118290517808251,0.00111367849777685,1.66532722080615e-05
"5",0.1,0.01,"zero_k",0.133694948640537,0.127268967691372,0.0111818260016019,0.160620065297509,0.172963654873404,0.0123732180869555,-0.0399294189442922,-0.0414324461237673,0.00145226595696947,0.0180194805194805,1,0,0,-0.00803869556130885,-0.00844192830747064,8.46196146480798e-07
"6",0.1,0.05,"extant",0.0257901653185389,0.0125452209294475,0.0173465622984409,0.0107015490450375,0.0218736447180885,0.0274198516561208,-0.00292401547168523,-0.00158049625452616,0.00196276459326966,NA,NA,NA,NA,-0.05,-0.05,0
"7",0.1,0.05,"full_k",0.0199738424603238,0.0149457972740965,0.00650245381189177,0.016605787665734,0.00887304601462649,0.00868010628276587,-0.00254486361459075,-0.000270480828539588,0.000971944890620107,0.0629960317460317,4,1,29,-0.00088518241574796,-0.000579252982916102,7.67199795953093e-05
"8",0.1,0.05,"half_k",0.0953728042944811,0.087940183671231,0.00978801635887496,0.107456185301664,0.105238784635551,0.0103392487852438,-0.0228820404969426,-0.0177438037134925,0.0010805610812073,0.0629960317460317,4,0.5,14,-0.0240349057078906,-0.0242947095201851,1.98203830932189e-05
"9",0.1,0.05,"strat_int",-0.0218266125361621,-0.029892671746329,0.00482219753492536,-0.0377579875550006,-0.050759451837133,0.00717777118358613,0.00798818930498982,0.00961417559700811,0.000954523666401199,0.0629960317460317,4,0.943650793650794,27,0.00258100159725091,0.00191188336071815,9.17984205100738e-05
"10",0.1,0.05,"zero_k",0.224655285733821,0.221553326272215,0.0145999392651369,0.235174177955985,0.23661474653545,0.0101001300000759,-0.0540626653609006,-0.053101630513406,0.00121101586434957,0.0629960317460317,4,0,0,-0.0445709477254574,-0.0446873735663633,5.09640198938382e-06
