mu	lambda	eps	turnover	netdiv	psi	ntip	m.type	k.type	k.ratio
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	15	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	17	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	14	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	19	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	22	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	19	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	2	20	0.909090909
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	19	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	28	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	23	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	1	43	0.977272727
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	24	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	22	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	1	31	0.96875
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	27	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	1	20	0.952380952
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	2	23	0.92
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	18	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	0	27	1
0.004761905	0.095238095	0.05	0.1	0.09047619	0.01	200	1	17	0.944444444
0.00952381	0.19047619	0.05	0.2	0.180952381	0.01	200	0	9	1
0.00952381	0.19047619	0.05	0.2	0.180952381	0.01	200	0	13	1
0.00952381	0.19047619	0.05	0.2	0.180952381	0.01	200	1	17	0.944444444
0.00952381	0.19047619	0.05	0.2	0.180952381	0.01	200	0	11	1
0.00952381	0.19047619	0.05	0.2	0.180952381	0.01	200	0	12	1
0.00952381	0.19047619	0.05	0.2	0.180952381	0.01	200	0	9	1
0.00952381	0.19047619	0.05	0.2	0.180952381	0.01	200	1	14	0.933333333
0.00952381	0.19047619	0.05	0.2	0.180952381	0.01	200	1	8	0.888888889
0.00952381	0.19047619	0.05	0.2	0.180952381	0.01	200	0	11	1
